"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200016_x_at",487.057750703118,-481.595798552706,-422.136757836858,-174.524636602089,-71.4217912195317,-331.055662525813,-242.587484768352,82.542648357448,94.4293007475492,-14.9955424401496
"200017_at",384.042037301338,-376.00046484009,-372.533023724488,-171.959889226137,-106.489710397392,-189.441718196793,-88.5018495490705,-133.590928075079,43.0174907842246,11.0833929787101
"200018_at",495.039980217332,-475.824746906081,-446.212235275479,-188.319005214729,-67.9748223585028,-309.808658838843,-217.58735848766,23.2553885724438,89.8939858312332,-24.7310913680987
"200019_s_at",212.225320593252,-211.55093294642,-188.530183542803,-114.105904206899,-97.6178600854649,-28.6470947851588,33.9174841045148,-217.189337742908,40.3233879683064,1.96784049097165
"200020_at",330.703076299837,-333.570867074151,-305.24527211302,-155.762133455159,-79.8842964462476,-203.546130446532,-120.424165618847,7.82646319995147,72.1267494229298,-13.5029989174876
"200021_at",429.528743080071,-381.183961663088,-427.943640463972,-153.780093759971,-89.9349721442172,-285.087932241251,-183.837950149088,72.934237390093,107.630664180038,-9.18430360448724
"200022_at",408.878051248395,-436.355219791601,-429.534510394081,-241.303835123126,-106.60343860271,-266.421926651286,-88.7728692515563,-174.35764010328,62.2518983895836,-32.0448801333055
"200023_s_at",378.390327793576,-383.719860519346,-390.043825546599,-176.15462497028,-113.76193655457,-150.580807137093,-16.1696637242543,-322.332156670978,33.7102324648939,-18.556992638491
"200024_at",317.440141842035,-280.948409416031,-231.8561623913,-129.633729941568,-95.8003399132991,-128.97068237564,-114.635809968378,-31.9726058550514,38.3088443212253,46.8946824090125
"200025_s_at",326.744187868522,-286.523299729561,-319.061786042998,-177.518621431107,-120.848494824718,-98.1176165234082,50.4015307143907,-371.816814559321,57.5399227787574,6.77316067424994
"200026_at",480.17097643028,-461.658960817558,-495.056813451868,-238.068342797135,-111.542867425243,-237.545810346225,-74.5327339081799,-293.112520775369,49.4520872324373,-15.2651162347292
"200027_at",278.776413594704,-240.708349922835,-240.786474622378,-135.343255618533,-105.864828558545,-82.7654222141146,30.3190310631294,-264.230524541036,43.5505919316053,-0.824694885850655
"200028_s_at",312.708801918186,-321.058838826422,-292.71608634434,-102.506232680821,-60.0045074085363,-248.040509597694,-198.033094962466,153.481434456211,62.8286385917595,-29.7852789288168
"200029_at",435.31073701621,-425.741370888299,-419.235190525579,-197.207134853443,-121.490601450672,-240.614554159971,-69.3079306581297,-240.25084317522,102.910640096071,-18.85737724757
"200030_s_at",134.756968951234,-97.063894788525,-125.635017488153,-99.1437816855148,-88.5263849757948,99.5408909629939,184.905089219308,-436.466492767772,36.4725030379783,36.9904906335389
"200031_s_at",373.196061070347,-346.380398935778,-323.549166892392,-202.497273007109,-97.9852211555667,-193.152591537937,-9.39564869042076,-233.037306946379,78.7161583679092,5.87628322071564
"200032_s_at",354.444182740695,-346.844530821635,-327.093614453289,-202.51773039908,-112.389228788057,-111.813096041048,28.466722926647,-293.790665297699,66.6265373031578,-28.4336956838291
"200033_at",344.06507562573,-318.835582789531,-288.600027821293,-110.395029615827,-32.8432753427834,-222.65671163018,-203.929803954873,170.609849867715,80.092342554099,-20.9596006844168
"200034_s_at",442.675808249413,-437.280834201006,-385.598413954368,-192.777180829023,-88.5719247366126,-265.405402831845,-139.969693160807,-30.0170715854915,70.6816410886072,-11.8859795046892
"200035_at",495.628555747346,-515.255130926121,-502.288652261488,-194.195036903833,-131.659687098106,-365.147695577067,-182.520826579276,-58.1765838302668,107.008087768707,-10.202719757728
"200036_s_at",415.687779238248,-389.153553352172,-424.635813018947,-242.884398799875,-102.755956987721,-178.101863683488,44.6868463421953,-389.433994161882,81.8419246253068,-11.3921129484553
"200037_s_at",435.698136465671,-460.847333789747,-471.442507531339,-173.024979529953,-70.4260207737913,-336.807780987136,-276.264206002151,159.375995053609,110.710485241446,-2.63283877441871
"200038_s_at",347.495120600197,-349.530004024191,-327.396400119395,-133.042586350649,-89.9221920553057,-189.597200170804,-117.979880514337,-72.6105268003841,54.8004975027344,-7.82730086209771
"200039_s_at",339.607005985249,-311.424043197585,-303.328534079165,-165.226491528035,-79.1204453508772,-108.143630995596,-3.24456181792454,-280.685698721228,19.1981673376281,-7.56943495560568
"200040_at",437.146564190188,-412.09061375852,-414.617982547947,-216.56040715363,-110.85485525747,-209.785150700993,-18.1397108110669,-318.506962250423,48.1870411843053,-13.9075739202039
"200041_s_at",382.691225453082,-375.806909530214,-337.92775507135,-148.754807806225,-93.8315364305758,-228.832263781304,-167.62825476285,25.9917798634044,51.0788320313315,-14.2004140065455
"200042_at",386.214175372693,-357.023225544729,-351.919139240562,-196.384139850299,-63.1163213587796,-197.684826435016,-69.0065413406032,-145.946888911887,77.6893108283935,-5.62935925726197
"200043_at",360.479020885279,-355.742185505152,-317.703526586116,-90.2553605450165,-78.1906417447094,-261.487568517501,-246.782771184111,229.095518102798,97.1489314954703,0.312548831148949
